age_at_game,games,avg_points,avg_minutes
19.0,3188,6.68,17.29
20.0,11136,7.84,19.69
21.0,23124,8.92,20.96
22.0,55513,8.66,20.1
23.0,102356,8.73,20.41
24.0,123485,9.36,21.69
25.0,121099,10.0,22.89
26.0,115535,10.52,24.04
27.0,107707,10.85,24.72
28.0,97825,10.92,25.02
29.0,87698,10.98,25.32
30.0,78783,10.6,24.87
31.0,69181,10.13,24.35
32.0,57202,9.85,23.81
33.0,44622,9.59,23.38
34.0,34230,9.22,23.18
35.0,24063,8.82,22.53
36.0,16322,8.38,21.91
37.0,10396,8.04,21.1
38.0,6514,7.74,20.04
39.0,3964,7.38,19.43
40.0,2041,7.49,19.56
41.0,1048,7.46,19.33
