feature_name,dtype,null_count,unique_values
firstName,object,0,categorical
lastName,object,0,categorical
personId,int64,0,13
gameId,int64,0,9583
gameDate,"datetime64[ns, UTC]",13227,133
playerteamCity,object,0,categorical
playerteamName,object,0,categorical
opponentteamCity,object,0,categorical
opponentteamName,object,0,categorical
gameType,object,193,categorical
gameLabel,object,12060,categorical
gameSubLabel,object,13261,categorical
seriesGameNumber,float64,11359,8
win,bool,0,2
home,bool,0,2
numMinutes,float64,0,913
points,float64,0,64
assists,float64,0,23
blocks,float64,0,10
steals,float64,0,9
fieldGoalsAttempted,float64,0,42
fieldGoalsMade,float64,0,23
fieldGoalsPercentage,float64,0,256
threePointersAttempted,float64,0,24
threePointersMade,float64,0,14
threePointersPercentage,float64,0,97
freeThrowsAttempted,float64,0,28
freeThrowsMade,float64,0,24
freeThrowsPercentage,float64,0,88
reboundsDefensive,float64,0,23
reboundsOffensive,float64,0,14
reboundsTotal,float64,0,29
foulsPersonal,float64,0,7
turnovers,float64,0,13
plusMinusPoints,float64,0,89
fullName,object,0,categorical
game_year,int64,0,19
birth_year,float64,13449,0
age_at_game,float64,13449,0
player_threshold,float64,0,12
over_threshold,int64,0,2
age_expected_points,float64,13449,0
age_expected_minutes,float64,13449,0
points_vs_age_expected,float64,13449,0
minutes_vs_age_expected,float64,13449,0
age_category,float64,13449,0
years_in_league_approx,float64,13449,0
career_stage,float64,13449,0
fg_percentage,float64,0,235
three_point_percentage,float64,0,92
free_throw_percentage,float64,0,83
points_per_minute,float64,0,2077
total_shot_attempts,float64,0,58
month,float64,13227,2
day_of_week,float64,13227,7
is_weekend,int64,0,2
rolling_3g_points,float64,0,153
rolling_3g_numMinutes,float64,0,1639
rolling_3g_fieldGoalsMade,float64,0,58
rolling_3g_fieldGoalsAttempted,float64,0,102
rolling_3g_threePointersMade,float64,0,33
rolling_3g_threePointersAttempted,float64,0,59
rolling_3g_freeThrowsMade,float64,0,58
rolling_3g_freeThrowsAttempted,float64,0,63
rolling_3g_assists,float64,0,51
rolling_3g_reboundsTotal,float64,0,70
rolling_3g_steals,float64,0,19
rolling_3g_blocks,float64,0,18
rolling_3g_fg_pct,float64,0,857
rolling_3g_3pt_pct,float64,0,344
rolling_5g_points,float64,0,245
rolling_5g_numMinutes,float64,0,1575
rolling_5g_fieldGoalsMade,float64,0,97
rolling_5g_fieldGoalsAttempted,float64,0,169
rolling_5g_threePointersMade,float64,0,55
rolling_5g_threePointersAttempted,float64,0,105
rolling_5g_freeThrowsMade,float64,0,96
rolling_5g_freeThrowsAttempted,float64,0,102
rolling_5g_assists,float64,0,91
rolling_5g_reboundsTotal,float64,0,112
rolling_5g_steals,float64,0,29
rolling_5g_blocks,float64,0,30
rolling_5g_fg_pct,float64,0,1591
rolling_5g_3pt_pct,float64,0,611
rolling_10g_points,float64,0,457
rolling_10g_numMinutes,float64,0,1758
rolling_10g_fieldGoalsMade,float64,0,181
rolling_10g_fieldGoalsAttempted,float64,0,323
rolling_10g_threePointersMade,float64,0,107
rolling_10g_threePointersAttempted,float64,0,207
rolling_10g_freeThrowsMade,float64,0,179
rolling_10g_freeThrowsAttempted,float64,0,194
rolling_10g_assists,float64,0,175
rolling_10g_reboundsTotal,float64,0,207
rolling_10g_steals,float64,0,59
rolling_10g_blocks,float64,0,64
rolling_10g_fg_pct,float64,0,3638
rolling_10g_3pt_pct,float64,0,1292
days_rest,float64,0,12
rest_category,object,0,categorical
games_last_7d,float64,0,5
games_last_14d,float64,0,8
avg_minutes_last_3g,float64,0,1639
avg_minutes_last_7g,float64,0,1606
is_back_to_back,int64,0,2
points_vs_threshold,float64,0,561
over_streak_last_3g,float64,13,4
vs_threshold_trend_3g,float64,0,1506
minutes_trend_3g,float64,0,1639
over_streak_last_5g,float64,13,6
vs_threshold_trend_5g,float64,0,2226
minutes_trend_5g,float64,0,1575
hot_streak,int64,0,2
cold_streak,int64,0,2
points_vs_rolling_avg,float64,0,836
days_since_season_start,float64,13227,46
season_progression,float64,13227,46
season_month,object,0,categorical
home_game,int64,0,2
opponent_def_rating,float64,0,1
opponent_pace,float64,0,1
vs_strong_def_last_5g,float64,0,1
usage_rate_approx,float64,0,5451
points_per_shot,float64,0,630
points_volatility_5g,float64,0,10637
points_volatility_10g,float64,0,12388
recent_fg_hot,int64,0,2
recent_3pt_hot,int64,0,2
good_form,int64,0,2
high_usage,int64,0,2
